year;month;day;hour;weekday;temp;blackout;phases;deenergized
2024;11;1;1;5;8.0;0;0;0
2024;11;1;2;5;8.6;0;0;0
2024;11;1;3;5;8.6;0;0;0
2024;11;1;4;5;8.0;0;0;0
2024;11;1;5;5;8.0;0;0;0
2024;11;1;6;5;7.9;0;0;0
2024;11;1;7;5;8.9;0;0;0
2024;11;1;8;5;8.5;0;0;0
2024;11;1;9;5;9.1;0;0;0
2024;11;1;10;5;9.8;0;0;0
2024;11;1;11;5;10.5;0;0;0
2024;11;1;12;5;11.1;0;0;0
2024;11;1;13;5;10.6;0;0;0
2024;11;1;14;5;11.7;0;0;0
2024;11;1;15;5;11.5;0;0;0
2024;11;1;16;5;11.1;0;0;0
2024;11;1;17;5;11.1;0;0;0
2024;11;1;18;5;11.1;0;0;0
2024;11;1;19;5;11.7;0;0;0
2024;11;1;20;5;11.1;0;0;0
2024;11;1;21;5;11.1;0;0;0
2024;11;1;22;5;12.0;0;0;0
2024;11;1;23;5;11.9;0;0;0
2024;11;1;24;5;11.8;0;0;0
2024;11;2;1;6;11.9;0;0;0
2024;11;2;2;6;11.4;0;0;0
2024;11;2;3;6;11.1;0;0;0
2024;11;2;4;6;11.8;0;0;0
2024;11;2;5;6;11.4;0;0;0
2024;11;2;6;6;11.1;0;0;0
2024;11;2;7;6;9.8;0;0;0
2024;11;2;8;6;10.5;0;0;0
2024;11;2;9;6;10.4;0;0;0
2024;11;2;10;6;9.9;0;0;0
2024;11;2;11;6;10.0;0;0;0
2024;11;2;12;6;10.1;0;0;0
2024;11;2;13;6;7.7;0;0;0
2024;11;2;14;6;9.2;0;0;0
2024;11;2;15;6;8.2;0;0;0
2024;11;2;16;6;6.7;0;0;0
2024;11;2;17;6;6.4;0;0;0
2024;11;2;18;6;6.0;0;0;0
2024;11;2;19;6;6.2;0;0;0
2024;11;2;20;6;5.2;0;0;0
2024;11;2;21;6;4.7;0;0;0
2024;11;2;22;6;5.2;0;0;0
2024;11;2;23;6;3.7;0;0;0
2024;11;2;24;6;3.3;0;0;0
2024;11;3;1;7;2.4;0;0;0
2024;11;3;2;7;2.5;0;0;0
2024;11;3;3;7;2.1;0;0;0
2024;11;3;4;7;1.4;0;0;0
2024;11;3;5;7;1.2;0;0;0
2024;11;3;6;7;1.0;0;0;0
2024;11;3;7;7;0.9;0;0;0
2024;11;3;8;7;1.9;0;0;0
2024;11;3;9;7;3.1;0;0;0
2024;11;3;10;7;4.1;0;0;0
2024;11;3;11;7;4.7;0;0;0
2024;11;3;12;7;5.4;0;0;0
2024;11;3;13;7;6.3;0;0;0
2024;11;3;14;7;5.6;0;0;0
2024;11;3;15;7;5.1;0;0;0
2024;11;3;16;7;5.4;0;0;0
2024;11;3;17;7;5.2;0;0;0
2024;11;3;18;7;5.0;0;0;0
2024;11;3;19;7;4.5;0;0;0
2024;11;3;20;7;4.8;0;0;0
2024;11;3;21;7;4.8;0;0;0
2024;11;3;22;7;4.7;0;0;0
2024;11;3;23;7;4.7;0;0;0
2024;11;3;24;7;4.8;0;0;0
2024;11;4;1;1;4.7;0;0;0
2024;11;4;2;1;4.8;0;0;0
2024;11;4;3;1;4.8;0;0;0
2024;11;4;4;1;5.5;0;0;0
2024;11;4;5;1;5.5;0;0;0
2024;11;4;6;1;5.6;0;0;0
2024;11;4;7;1;6.7;0;0;0
2024;11;4;8;1;5.5;0;0;0
2024;11;4;9;1;5.5;0;0;0
2024;11;4;10;1;5.2;0;0;0
2024;11;4;11;1;5.3;0;0;0
2024;11;4;12;1;5.3;0;0;0
2024;11;4;13;1;5.4;0;0;0
2024;11;4;14;1;4.9;0;0;0
2024;11;4;15;1;4.5;0;0;0
2024;11;4;16;1;4.6;0;0;0
2024;11;4;17;1;4.3;0;0;0
2024;11;4;18;1;3.9;0;0;0
2024;11;4;19;1;3.0;0;0;0
2024;11;4;20;1;3.1;0;0;0
2024;11;4;21;1;2.5;0;0;0
2024;11;4;22;1;1.5;0;0;0
2024;11;4;23;1;1.0;0;0;0
2024;11;4;24;1;0.5;0;0;0
2024;11;5;1;2;-0.1;0;0;0
2024;11;5;2;2;-0.4;0;0;0
2024;11;5;3;2;-0.9;0;0;0
2024;11;5;4;2;-1.8;0;0;0
2024;11;5;5;2;-1.9;0;0;0
2024;11;5;6;2;-1.9;0;0;0
2024;11;5;7;2;-2.1;0;0;0
2024;11;5;8;2;-0.4;0;0;0
2024;11;5;9;2;1.2;0;0;0
2024;11;5;10;2;3.4;0;0;0
2024;11;5;11;2;3.4;0;0;0
2024;11;5;12;2;4.1;0;0;0
2024;11;5;13;2;5.0;0;0;0
2024;11;5;14;2;4.7;0;0;0
2024;11;5;15;2;4.6;0;0;0
2024;11;5;16;2;5.0;0;0;0
2024;11;5;17;2;5.0;0;0;0
2024;11;5;18;2;5.1;0;0;0
2024;11;5;19;2;5.3;0;0;0
2024;11;5;20;2;4.9;0;0;0
2024;11;5;21;2;4.7;0;0;0
2024;11;5;22;2;5.3;0;0;0
2024;11;5;23;2;5.1;0;0;0
2024;11;5;24;2;4.9;0;0;0
2024;11;6;1;3;5.2;0;0;0
2024;11;6;2;3;4.3;0;0;0
2024;11;6;3;3;3.9;0;0;0
2024;11;6;4;3;4.7;0;0;0
2024;11;6;5;3;4.3;0;0;0
2024;11;6;6;3;3.9;0;0;0
2024;11;6;7;3;3.4;0;0;0
2024;11;6;8;3;4.3;0;0;0
2024;11;6;9;3;5.1;0;0;0
2024;11;6;10;3;5.7;0;0;0
2024;11;6;11;3;6.2;0;0;0
2024;11;6;12;3;6.8;0;0;0
2024;11;6;13;3;6.4;0;0;0
2024;11;6;14;3;7.2;0;0;0
2024;11;6;15;3;7.1;0;0;0
2024;11;6;16;3;7.0;0;0;0
2024;11;6;17;3;6.8;0;0;0
2024;11;6;18;3;6.7;0;0;0
2024;11;6;19;3;5.6;0;0;0
2024;11;6;20;3;6.4;0;0;0
2024;11;6;21;3;6.2;0;0;0
2024;11;6;22;3;5.0;0;0;0
2024;11;6;23;3;4.9;0;0;0
2024;11;6;24;3;4.8;0;0;0
2024;11;7;1;4;4.2;0;0;0
2024;11;7;2;4;4.6;0;0;0
2024;11;7;3;4;4.4;0;0;0
2024;11;7;4;4;3.0;0;0;0
2024;11;7;5;4;2.8;0;0;0
2024;11;7;6;4;2.6;0;0;0
2024;11;7;7;4;2.2;0;0;0
2024;11;7;8;4;4.0;0;0;0
2024;11;7;9;4;5.6;0;0;0
2024;11;7;10;4;7.1;0;0;0
2024;11;7;11;4;8.2;0;0;0
2024;11;7;12;4;9.2;0;0;0
2024;11;7;13;4;10.8;0;0;0
2024;11;7;14;4;9.7;0;0;0
2024;11;7;15;4;9.1;0;0;0
2024;11;7;16;4;8.8;0;0;0
2024;11;7;17;4;8.2;0;0;0
2024;11;7;18;4;7.7;0;0;0
2024;11;7;19;4;6.9;0;0;0
2024;11;7;20;4;6.7;0;0;0
2024;11;7;21;4;6.4;0;0;0
2024;11;7;22;4;5.8;0;0;0
2024;11;7;23;4;5.6;0;0;0
2024;11;7;24;4;5.1;0;0;0
2024;11;8;1;5;4.4;0;0;0
2024;11;8;2;5;4.4;0;0;0
2024;11;8;3;5;4.1;0;0;0
2024;11;8;4;5;2.1;0;0;0
2024;11;8;5;5;3.8;0;0;0
2024;11;8;6;5;3.7;0;0;0
2024;11;8;7;5;3.1;0;0;0
2024;11;8;8;5;4.1;0;0;0
2024;11;8;9;5;4.6;0;0;0
2024;11;8;10;5;4.0;0;0;0
2024;11;8;11;5;4.5;0;0;0
2024;11;8;12;5;4.9;0;0;0
2024;11;8;13;5;4.7;0;0;0
2024;11;8;14;5;5.5;0;0;0
2024;11;8;15;5;5.6;0;0;0
2024;11;8;16;5;5.6;0;0;0
2024;11;8;17;5;5.7;0;0;0
2024;11;8;18;5;5.8;0;0;0
2024;11;8;19;5;6.0;0;0;0
2024;11;8;20;5;5.8;0;0;0
2024;11;8;21;5;5.7;0;0;0
2024;11;8;22;5;5.9;0;0;0
2024;11;8;23;5;5.7;0;0;0
2024;11;8;24;5;5.4;0;0;0
2024;11;9;1;6;5.5;0;0;0
2024;11;9;2;6;5.0;0;0;0
2024;11;9;3;6;4.9;0;0;0
2024;11;9;4;6;5.1;0;0;0
2024;11;9;5;6;4.6;0;0;0
2024;11;9;6;6;4.0;0;0;0
2024;11;9;7;6;5.0;0;0;0
2024;11;9;8;6;4.3;0;0;0
2024;11;9;9;6;5.0;0;0;0
2024;11;9;10;6;5.2;0;0;0
2024;11;9;11;6;5.3;0;0;0
2024;11;9;12;6;5.4;0;0;0
2024;11;9;13;6;5.3;0;0;0
2024;11;9;14;6;5.3;0;0;0
2024;11;9;15;6;5.0;0;0;0
2024;11;9;16;6;4.7;0;0;0
2024;11;9;17;6;4.5;0;0;0
2024;11;9;18;6;4.4;0;0;0
2024;11;9;19;6;4.4;0;0;0
2024;11;9;20;6;4.1;0;0;0
2024;11;9;21;6;3.9;0;0;0
2024;11;9;22;6;4.1;0;0;0
2024;11;9;23;6;3.9;0;0;0
2024;11;9;24;6;3.7;0;0;0
2024;11;10;1;7;3.6;0;0;0
2024;11;10;2;7;3.4;0;0;0
2024;11;10;3;7;3.3;0;0;0
2024;11;10;4;7;3.2;0;0;0
2024;11;10;5;7;2.7;0;0;0
2024;11;10;6;7;2.3;0;0;0
2024;11;10;7;7;3.0;0;0;0
2024;11;10;8;7;2.6;0;0;0
2024;11;10;9;7;3.4;0;0;0
2024;11;10;10;7;3.6;0;0;0
2024;11;10;11;7;4.3;0;0;0
2024;11;10;12;7;4.5;0;0;0
2024;11;10;13;7;4.2;0;0;0
2024;11;10;14;7;4.3;0;0;0
2024;11;10;15;7;3.9;0;0;0
2024;11;10;16;7;3.1;0;0;0
2024;11;10;17;7;3.5;0;0;0
2024;11;10;18;7;3.4;0;0;0
2024;11;10;19;7;2.7;0;0;0
2024;11;10;20;7;3.1;0;0;0
2024;11;10;21;7;3.0;0;0;0
2024;11;10;22;7;2.4;0;0;0
2024;11;10;23;7;2.3;0;0;0
2024;11;10;24;7;2.2;0;0;0
2024;11;11;1;1;1.6;0;0;0
2024;11;11;2;1;2.1;0;0;0
2024;11;11;3;1;2.1;0;0;0
2024;11;11;4;1;0.8;0;0;0
2024;11;11;5;1;0.8;0;0;0
2024;11;11;6;1;0.8;0;0;0
2024;11;11;7;1;0.5;0;0;0
2024;11;11;8;1;1.1;0;0;0
2024;11;11;9;1;1.5;0;0;0
2024;11;11;10;1;0.9;0;0;0
2024;11;11;11;1;1.3;0;0;0
2024;11;11;12;1;1.6;0;0;0
2024;11;11;13;1;1.6;0;0;0
2024;11;11;14;1;2.1;0;0;0
2024;11;11;15;1;2.2;0;0;0
2024;11;11;16;1;1.5;0;0;0
2024;11;11;17;1;1.6;0;0;0
2024;11;11;18;1;1.7;0;0;0
2024;11;11;19;1;1.5;0;0;0
2024;11;11;20;1;1.9;0;0;0
2024;11;11;21;1;2.1;0;0;0
2024;11;11;22;1;1.9;0;0;0
2024;11;11;23;1;1.8;0;0;0
2024;11;11;24;1;1.8;0;0;0
2024;11;12;1;2;2.2;0;0;0
2024;11;12;2;2;1.7;0;0;0
2024;11;12;3;2;1.7;0;0;0
2024;11;12;4;2;2.5;0;0;0
2024;11;12;5;2;2.2;0;0;0
2024;11;12;6;2;2.0;0;0;0
2024;11;12;7;2;2.7;0;0;0
2024;11;12;8;2;2.3;0;0;0
2024;11;12;9;2;2.8;0;0;0
2024;11;12;10;2;3.8;0;0;0
2024;11;12;11;2;3.8;0;0;0
2024;11;12;12;2;3.9;0;0;0
2024;11;12;13;2;3.9;0;0;0
2024;11;12;14;2;3.7;0;0;0
2024;11;12;15;2;3.5;0;0;0
2024;11;12;16;2;3.2;0;0;0
2024;11;12;17;2;3.1;0;0;0
2024;11;12;18;2;2.9;0;0;0
2024;11;12;19;2;2.6;0;0;0
2024;11;12;20;2;2.6;0;0;0
2024;11;12;21;2;2.5;0;0;0
2024;11;12;22;2;2.4;0;0;0
2024;11;12;23;2;2.2;0;0;0
2024;11;12;24;2;2.0;0;0;0
2024;11;13;1;3;2.1;0;0;0
2024;11;13;2;3;1.7;0;0;0
2024;11;13;3;3;1.5;0;0;0
2024;11;13;4;3;1.9;0;0;0
2024;11;13;5;3;1.4;0;0;0
2024;11;13;6;3;1.4;0;0;0
2024;11;13;7;3;1.9;0;0;0
2024;11;13;8;3;1.9;0;0;0
2024;11;13;9;3;2.4;0;0;0
2024;11;13;10;3;3.4;0;0;0
2024;11;13;11;3;3.5;0;0;0
2024;11;13;12;3;3.6;0;0;0
2024;11;13;13;3;4.6;0;0;0
2024;11;13;14;3;3.4;0;0;0
2024;11;13;15;3;3.2;0;0;0
2024;11;13;16;3;3.0;0;0;0
2024;11;13;17;3;2.9;0;0;0
2024;11;13;18;3;2.8;0;0;0
2024;11;13;19;3;3.2;0;0;0
2024;11;13;20;3;2.6;0;0;0
2024;11;13;21;3;2.5;0;0;0
2024;11;13;22;3;2.8;0;0;0
2024;11;13;23;3;2.6;0;0;0
2024;11;13;24;3;2.5;0;0;0
2024;11;14;1;4;2.5;0;0;0
2024;11;14;2;4;2.1;0;0;0
2024;11;14;3;4;1.8;0;0;0
2024;11;14;4;4;1.5;0;0;0
2024;11;14;5;4;1.3;0;0;0
2024;11;14;6;4;1.1;0;0;0
2024;11;14;7;4;0.8;0;0;0
2024;11;14;8;4;1.0;0;0;0
2024;11;14;9;4;1.2;0;0;0
2024;11;14;10;4;1.0;0;0;0
2024;11;14;11;4;1.1;0;0;0
2024;11;14;12;4;1.2;0;0;0
2024;11;14;13;4;1.0;0;0;0
2024;11;14;14;4;1.4;0;0;0
2024;11;14;15;4;1.4;0;0;0
2024;11;14;16;4;1.1;0;0;0
2024;11;14;17;4;1.2;0;0;0
2024;11;14;18;4;1.3;0;0;0
2024;11;14;19;4;-0.3;0;0;0
2024;11;14;20;4;1.4;0;0;0
2024;11;14;21;4;1.4;0;0;0
2024;11;14;22;4;-0.1;0;0;0
2024;11;14;23;4;0.0;0;0;0
2024;11;14;24;4;0.1;0;0;0
2024;11;15;1;5;-0.3;0;0;0
2024;11;15;2;5;0.4;0;0;0
2024;11;15;3;5;0.6;0;0;0
2024;11;15;4;5;-0.3;0;0;0
2024;11;15;5;5;-0.3;0;0;0
2024;11;15;6;5;-0.2;0;0;0
2024;11;15;7;5;0.6;0;0;0
2024;11;15;8;5;0.3;0;0;0
2024;11;15;9;5;0.7;0;0;0
2024;11;15;10;5;2.2;0;0;0
2024;11;15;11;5;2.3;0;0;0
2024;11;15;12;5;2.5;0;0;0
2024;11;15;13;5;2.2;0;0;0
2024;11;15;14;5;2.6;0;0;0
2024;11;15;15;5;2.5;0;0;0
2024;11;15;16;5;1.5;0;0;0
2024;11;15;17;5;2.5;0;0;0
2024;11;15;18;5;2.5;0;0;0
2024;11;15;19;5;1.5;0;0;0
2024;11;15;20;5;2.5;0;0;0
2024;11;15;21;5;2.3;0;0;0
2024;11;15;22;5;0.6;0;0;0
2024;11;15;23;5;0.5;0;0;0
2024;11;15;24;5;0.5;0;0;0
2024;11;16;1;6;1.3;0;0;0
2024;11;16;2;6;0.4;0;0;0
2024;11;16;3;6;0.4;0;0;0
2024;11;16;4;6;1.5;0;0;0
